entry_time,exit_time,profit,position_size,balance_before,balance_after,stop_loss,take_profit
1970-01-01 00:00:12.014000+00:00,1970-01-01 00:00:12.025000+00:00,134.46206172288294,0.29772674199242855,24339.668356853803,24474.130418576686,63209.5299,70232.811
1970-01-01 00:00:12.052000+00:00,1970-01-01 00:00:12.070000+00:00,-205.14793391999774,0.2986277043668579,24474.130418576686,24268.982484656688,63018.826199999996,70020.918
1970-01-01 00:00:12.277000+00:00,1970-01-01 00:00:12.285000+00:00,-205.14793391999774,0.30834155582456513,24268.982484656688,24063.83455073669,61033.509900000005,67815.01100000001
1970-01-01 00:00:12.286000+00:00,1970-01-01 00:00:12.299000+00:00,172.88227068735068,0.3113210467279801,24063.83455073669,24236.71682142404,60449.3901,67165.989
1970-01-01 00:00:12.443000+00:00,1970-01-01 00:00:12.455000+00:00,-205.14793391999774,0.3113012653800029,24236.71682142404,24031.568887504043,60453.2313,67170.25700000001
1970-01-01 00:00:12.457000+00:00,1970-01-01 00:00:12.671000+00:00,303.37383139507074,0.3143598245403693,24031.568887504043,24334.942718899114,59865.0525,66516.725
1970-01-01 00:00:12.685000+00:00,1970-01-01 00:00:12.705000+00:00,579.6686659791667,0.3124749936302591,24334.942718899114,24914.61138487828,60226.155,66917.95000000001
1970-01-01 00:00:12.746000+00:00,1970-01-01 00:00:12.792000+00:00,-205.14793391999774,0.3030814104213681,24914.61138487828,24709.463450958283,62092.7802,68991.978
1970-01-01 00:00:13.028000+00:00,1970-01-01 00:00:13.088000+00:00,286.78662386802534,0.29116009067516235,24709.463450958283,24996.25007482631,64635.12,71816.8
1970-01-01 00:00:13.501000+00:00,1970-01-01 00:00:13.508000+00:00,-205.1479339199941,0.27036714756249053,24996.25007482631,24791.102140906314,69605.9694,77339.966
1970-01-01 00:00:13.509000+00:00,1970-01-01 00:00:13.620000+00:00,-205.14793392000138,0.2721536466643845,24791.102140906314,24585.954206986313,69149.0547,76832.28300000001
1970-01-01 00:00:13.750000+00:00,1970-01-01 00:00:13.771000+00:00,21.57235879352811,0.28277801463362534,24585.954206986313,24607.52656577984,66551.02739999999,73945.586
1970-01-01 00:00:13.819000+00:00,1970-01-01 00:00:13.951000+00:00,137.2575219855753,0.27634562370553345,24607.52656577984,24744.784087765416,68100.1101,75666.78900000002
1970-01-01 00:00:14.005000+00:00,1970-01-01 00:00:14.022000+00:00,130.59912972214443,0.27705723735634835,24744.784087765416,24875.38321748756,67925.1969,75472.441
1970-01-01 00:00:14.127000+00:00,1970-01-01 00:00:14.148000+00:00,4.247105288879538,0.27934131076571295,24875.38321748756,24879.63032277644,67369.797,74855.33000000002
1970-01-01 00:00:14.236000+00:00,1970-01-01 00:00:14.267000+00:00,-205.14793392000138,0.27813273637081903,24879.63032277644,24674.48238885644,67662.54,75180.6
1970-01-01 00:00:14.273000+00:00,1970-01-01 00:00:14.314000+00:00,185.02118081934168,0.28224583782541385,24674.48238885644,24859.50356967578,66676.50989999999,74085.011
1970-01-01 00:00:14.431000+00:00,1970-01-01 00:00:14.447000+00:00,33.47643852386318,0.27883040393551944,24859.50356967578,24892.980008199644,67493.24010000001,74992.48900000002
1970-01-01 00:00:14.459000+00:00,1970-01-01 00:00:14.464000+00:00,-205.14793391999774,0.2816113239121469,24892.980008199644,24687.832074279646,66826.74239999999,74251.936
1970-01-01 00:00:14.465000+00:00,1970-01-01 00:00:14.508000+00:00,179.47876707714386,0.2837202561611558,24687.832074279646,24867.31084135679,66330.00989999999,73700.011
