entry_time,exit_time,profit,position_size,balance_before,balance_after,stop_loss,take_profit
1970-01-01 00:00:06.908000+00:00,1970-01-01 00:00:07.050000+00:00,225.13390047866596,0.2650707288225717,11660.722657074302,11885.856557552968,37348.5222,41498.358
1970-01-01 00:00:07.108000+00:00,1970-01-01 00:00:07.137000+00:00,121.94883056966682,0.25500563307443463,11885.856557552968,12007.805388122635,38822.6718,43136.302
1970-01-01 00:00:07.227000+00:00,1970-01-01 00:00:07.299000+00:00,-107.92000000000189,0.2453385070317696,12007.805388122635,11899.885388122633,40352.4099,44836.011000000006
1970-01-01 00:00:07.387000+00:00,1970-01-01 00:00:07.438000+00:00,9.701118929933727,0.23988207397243513,11899.885388122633,11909.586507052567,41270.2785,45855.865000000005
1970-01-01 00:00:07.500000+00:00,1970-01-01 00:00:07.536000+00:00,-107.92000000000007,0.23883454474195004,11909.586507052567,11801.666507052567,41451.2901,46056.989
1970-01-01 00:00:07.551000+00:00,1970-01-01 00:00:07.569000+00:00,54.769800896461675,0.24189471290725997,11801.666507052567,11856.436307949029,40926.897000000004,45474.33000000001
1970-01-01 00:00:07.678000+00:00,1970-01-01 00:00:07.691000+00:00,189.1937521888758,0.24371620417861178,11856.436307949029,12045.630060137904,40621.0167,45134.463
1970-01-01 00:00:07.707000+00:00,1970-01-01 00:00:07.723000+00:00,129.5721439055451,0.23669765117819808,12045.630060137904,12175.20220404345,41825.5101,46472.789000000004
1970-01-01 00:00:07.742000+00:00,1970-01-01 00:00:07.780000+00:00,-107.92000000000007,0.2344127257980581,12175.20220404345,12067.28220404345,42233.202000000005,46925.780000000006
1970-01-01 00:00:07.797000+00:00,1970-01-01 00:00:07.839000+00:00,162.8150769440781,0.2386528903490203,12067.28220404345,12230.097280987527,41482.8414,46092.046
1970-01-01 00:00:07.849000+00:00,1970-01-01 00:00:07.864000+00:00,40.053283712670236,0.23716223058667057,12230.097280987527,12270.150564700198,41743.5777,46381.753000000004
1970-01-01 00:00:07.980000+00:00,1970-01-01 00:00:08.011000+00:00,60.42995956743471,0.2276223862974965,12270.150564700198,12330.580524267632,43493.085900000005,48325.651000000005
